id,draft_year,draft_position,height,height_inches
jentch01,1994,NA,6-7,79
jepsele01,1991,28,7-0,84
jerebjo01,2010,39,6-10,82
jeromty01,2020,24,6-5,77
jerregr01,2014,40,6-10,82
jetereu01,2011,NA,5-11,71
jianlyi01,2008,6,7-0,84
joeis01,2021,49,6-4,76
johnsaj01,2025,23,6-5,77
johnsal01,2007,45,6-9,81
johnsal02,2019,50,6-9,81
johnsam01,2006,56,6-9,81
johnsan02,1998,40,6-3,75
johnsar02,2011,34,6-3,75
johnsav01,1989,NA,5-10,70
johnsbj01,2019,NA,6-7,79
johnsbr01,2004,NA,6-10,82
johnsbr02,2017,25,6-10,82
johnsbu01,1987,20,6-7,79
johnsca01,2012,NA,5-10,70
johnsca02,2020,11,6-8,80
johnsch02,1980,54,6-6,78
johnsch03,2011,NA,6-11,83
johnsch04,2013,NA,6-6,78
johnscl01,1979,44,6-10,82
johnscl02,1979,110,6-4,76
johnsda01,1993,26,6-7,79
johnsda02,1988,58,6-1,73
johnsda03,2013,55,6-2,74
johnsda04,2016,48,7-0,84
johnsda08,2022,47,6-4,76
johnsde01,1977,29,6-4,76
johnsde02,1999,38,6-9,81
johnsde03,2001,6,6-9,81
johnsed02,1978,49,6-2,74
johnsed03,1982,29,6-7,79
johnser01,1990,NA,6-2,74
johnser02,1994,23,6-11,83
johnsfr01,1982,11,6-1,73
johnsge02,1971,79,6-11,83
johnsge03,1979,12,6-7,79
johnsiv01,2012,NA,6-8,80
johnsja01,2010,16,6-7,79
johnsja02,2012,27,6-10,82
johnsja05,2022,20,6-8,80
johnsji01,1983,51,6-11,83
johnsjo01,1971,7,6-7,79
johnsjo02,2002,10,6-7,79
johnska01,1988,41,6-9,81
johnske01,1986,28,6-8,80
johnske02,1988,7,6-1,73
johnske03,2002,49,6-11,83
johnske04,2020,29,6-6,78
johnske07,2022,21,6-5,77
johnske08,2024,50,6-4,76
johnske10,2025,NA,6-6,78
johnsla02,1992,1,6-7,79
johnsle01,1980,17,6-11,83
johnsli01,2004,NA,6-8,80
johnsma01,1978,3,6-7,79
johnsma02,1980,1,6-9,81
johnsmi01,1975,56,6-10,82
johnsna01,1989,59,6-8,80
johnsni01,2015,42,6-3,75
johnsol01,1973,30,6-6,78
johnsom01,2018,NA,6-9,81
johnsor01,2013,36,6-5,77
johnsre01,1981,15,6-9,81
johnsst02,1987,100,6-8,80
johnsst03,1982,7,6-10,82
johnsst04,2016,8,6-6,78
johnstr01,2009,NA,6-5,77
johnstr03,2026,6,6-5,77
johnsty01,2015,NA,6-3,75
johnsvi01,1980,7,6-2,74
johnswe01,2011,4,6-7,79
jokicni01,2015,41,6-11,83
jonesal01,2002,57,6-11,83
jonesan01,1987,21,6-6,78
jonesas01,1995,NA,6-5,77
jonesbi01,1989,NA,6-7,79
jonesbo01,1975,5,6-9,81
jonesbo02,2007,37,6-7,79
jonesca01,1974,32,6-11,83
jonesca03,2022,NA,6-0,72
jonesch01,1980,165,6-9,81
jonesch02,1985,36,6-8,80
jonesch03,1999,NA,6-3,75
jonesco02,2024,34,6-6,78
jonesda01,1999,NA,6-3,75
jonesda02,2004,20,6-6,78
jonesda03,2017,30,6-10,82
jonesda06,2026,NA,6-4,76
jonesde01,2013,NA,6-8,80
jonesde02,2017,NA,6-6,78
jonesdi01,2025,26,6-5,77
jonesdo01,1997,21,6-8,80
jonesdo02,2011,25,6-4,76
jonesdw01,1974,9,6-10,82
jonesdw02,2006,NA,6-11,83
jonesea01,1985,23,7-0,84
jonesed01,1980,31,6-10,82
jonesed02,1995,10,6-6,78
jonesfr01,2003,14,6-4,76
joneshe01,2022,35,6-7,79
joneshu01,1983,54,6-8,80
jonesis01,2025,NA,6-8,80
jonesja02,2004,49,6-8,80
jonesja04,2018,NA,6-7,79
jonesje01,2019,NA,6-5,77
jonesju01,2000,27,6-8,80
joneska01,2022,19,6-11,83
joneske01,2013,NA,6-8,80
jonesma01,1977,20,6-9,81
jonesma02,1984,82,6-1,73
jonesma03,2005,NA,6-6,78
jonesma05,2021,NA,6-4,76
jonesoz01,1985,90,6-11,83
jonespe01,2013,28,6-11,83
jonespo01,1993,41,6-8,80
jonessh01,1989,27,6-9,81
jonesso01,2007,33,6-10,82
jonessp01,2025,NA,6-7,79
joneste01,2013,18,6-9,81
jonestr01,2021,41,6-1,73
jonesty01,2016,24,6-0,72
jordaad01,1994,42,5-11,71
jordade01,2009,35,6-11,83
jordaed01,1978,33,6-1,73
jordaje01,2011,44,7-0,84
jordami01,1985,3,6-6,78
jordare01,1994,NA,6-4,76
jordath01,1993,NA,6-10,82
jordawa01,1979,84,6-7,79
josepco01,2012,29,6-2,74
josepga01,2001,NA,7-2,86
josepkr01,2013,51,6-7,79
josepyv01,1986,36,6-11,83
jovicni01,2023,27,6-10,82
judkije01,1979,30,6-6,78
juzanjo01,2023,NA,6-7,79
kabenmf01,2020,27,6-10,82
kalaige01,2022,60,6-8,80
kalkbry01,2026,34,7-1,85
kamanch01,2004,6,7-0,84
kaminfr01,2016,9,7-0,84
